# Combination of agents: ['wiki', 'gemini']

# Prompt: <s>You are a classroom assistant. Your job is to determine which of the following categories best fits a user's query. Please only provide the category number in your response. The available categories are as follows:

1. The user is asking for factual information that could be found in a textbook or encyclopedia, including general description or explanations of terms and concepts.
For example: "What is the capital of France?", "Tell us about World War II", "What are protozoa?", "When did Darwin visit the Galapagos Islands?", "Please explain photosynthesis", "How tall is Mount Kilimanjaro?", "Why do we sneeze?", "What was the Roman empire?", "What mammal has the longest tail?", "Teach me about the Krebs cycle", "Who won the Spanish-American war?", "How far away is the sun?, "What is the pancreas?"

2. The user is engaging in general conversation, including but not limited to: personal chat; matters of taste or opinion; solving math problems or converting units; map directions and distances between cities; requests for creative assistance or writing; requests for images, videos or resources; requests for lesson plans, classroom advice, activities, and quizzes; requests for translation, jokes, or predictions.
For example: "What is 26 miles in kilometers?", "Show me pictures of dogs", "What is the square root of 9?", "How do you say 'welcome' in Spanish?", "Solve for x: x + 7x = 16", "Who is the best football player?", "How long does it take to fly from Los Angeles to Seattle?", "Write me a letter of recommendation", "Who will win the next world cup?", "Is 3/5 greater than 1/2?", "How many liters are in 5 gallons?", "Give me a lesson plan for 4th grade civics", "How are you?", "What should I do for my birthday?", "Write me a haiku"

3. Use this category only if the user query does not fit in any of the categories above.

# accuracy: 0.9174
# precision: [0.9234 0.     0.921 ]
# recall: [0.8282 0.     0.9631]
# fscore: [0.8732 0.     0.9416]
# support: [291   0 569]

# accuracy_after_default: 0.9209
# precision_after_default: [0.9208 0.921 ]
# recall_after_default: [0.8385 0.9631]
# fscore_after_default: [0.8777 0.9416]
# support_after_default: [291 569]

# time per query: 0.2506

query,route,mistral_7b_response,mistral_7b_category,correctness,defaulted_category,defaulted_correctness
is Gandhi the goat,gemini,3,none,False,gemini,True
am I allowed to hit my students,gemini,3,none,False,gemini,True
divide 0 by Infinity,gemini,3,none,False,gemini,True
What is the cube root of 8?,gemini,1,wiki,False,wiki,False
Give me a lesson plan on photosynthesis,gemini,1,wiki,False,wiki,False
are computer beings real,gemini,1,wiki,False,wiki,False
can you explain what a hook is when writing an introductory paragraph,gemini,1,wiki,False,wiki,False
explain solving problems with variables,gemini,1,wiki,False,wiki,False
give me some examples of central idea,gemini,1,wiki,False,wiki,False
how can I tell if a number is divisible by 9,gemini,1,wiki,False,wiki,False
how do I code,gemini,1,wiki,False,wiki,False
how do school districts get hacked,gemini,1,wiki,False,wiki,False
how do we use the electromagnetic spectrum to produce Vape detecting machines,gemini,1,wiki,False,wiki,False
how do you cite an online article without any page numbers,gemini,1,wiki,False,wiki,False
how do you cite evidence,gemini,1,wiki,False,wiki,False
how do you create analogous colors,gemini,1,wiki,False,wiki,False
how do you simplify 6 plus x times 1/3,gemini,1,wiki,False,wiki,False
how is math used in baseball,gemini,1,wiki,False,wiki,False
how many inches are there in one ft,gemini,1,wiki,False,wiki,False
how many seconds are in a week,gemini,1,wiki,False,wiki,False
I need primary sources on war crimes committed during the Holocaust,gemini,1,wiki,False,wiki,False
I need primary sources to support a research essay on war crimes committed during the Holocaust,gemini,1,wiki,False,wiki,False
I need sources on the planet Saturn,gemini,1,wiki,False,wiki,False
is the vocabulary word approached an adverb,gemini,1,wiki,False,wiki,False
is the word approached an adverb,gemini,1,wiki,False,wiki,False
is there an answer for the 3x plus one conjecture,gemini,1,wiki,False,wiki,False
what are 2 equivalent fractions,gemini,1,wiki,False,wiki,False
what is one divided by 0,gemini,1,wiki,False,wiki,False
what is the current best graphics card,gemini,1,wiki,False,wiki,False
what is the difference from the Intel Iris taxi and the RTX 4090,gemini,1,wiki,False,wiki,False
what is the divisibility rule for 9,gemini,1,wiki,False,wiki,False
what is the inflection point of AI,gemini,1,wiki,False,wiki,False
what is the structure of an argumentative essay,gemini,1,wiki,False,wiki,False
what were the advantages and disadvantages of Donald Trump when he was US president,gemini,1,wiki,False,wiki,False
where is the microphone on a Mac Pro laptop,gemini,1,wiki,False,wiki,False
where would you be able to use exponential decay in the world,gemini,1,wiki,False,wiki,False
where would you be able to use exponential growth and exponential decay in the world,gemini,1,wiki,False,wiki,False
where would you be able to use the slope equation in the world,gemini,1,wiki,False,wiki,False
what questions can I ask my students about Jupiter's largest moon,gemini,1,wiki,False,wiki,False
give me a 5 paragraph explanation on why Pluto is not a planet,gemini,1,wiki,False,wiki,False
how many days is it until the 1st of April,gemini,1,wiki,False,wiki,False
who are the 10 most influential people in the world,gemini,1,wiki,False,wiki,False
can you name famous children that are babies,gemini,1,wiki,False,wiki,False
list 5 common tax incentives,gemini,1,wiki,False,wiki,False
list all the capitals in United States,gemini,1,wiki,False,wiki,False
is 4/6 equivalent to 6/9,gemini,1,wiki,False,wiki,False
is 4/6 equivalent to 8/12,gemini,1,wiki,False,wiki,False
divide 0 by 0,gemini,1,wiki,False,wiki,False
how can artificial intelligence be used for good,gemini,1,wiki,False,wiki,False
what is the ideal number of students in a classroom,gemini,1,wiki,False,wiki,False
can you tell me about the sausage catastrophe,wiki,2,gemini,False,gemini,False
explain a hook related to writing,wiki,2,gemini,False,gemini,False
explain ecosystems from the perspective of a horse,wiki,2,gemini,False,gemini,False
how do I tell wind speed by using isobar,wiki,2,gemini,False,gemini,False
how do we play soccer,wiki,2,gemini,False,gemini,False
how do you get a virus,wiki,2,gemini,False,gemini,False
how long will it take you to climb Mount Everest,wiki,2,gemini,False,gemini,False
how many Superbowls have the New England Patriots cheat in,wiki,2,gemini,False,gemini,False
how to solve quadratic equations,wiki,2,gemini,False,gemini,False
is the earth flat,wiki,2,gemini,False,gemini,False
is there a song called cyclone,wiki,2,gemini,False,gemini,False
share what a millipede looks like,wiki,2,gemini,False,gemini,False
tell me about the best practices for setting up a business,wiki,2,gemini,False,gemini,False
uniforms for Real Madrid,wiki,2,gemini,False,gemini,False
what can I take for a cough,wiki,2,gemini,False,gemini,False
what is Debbie Does Dallas,wiki,2,gemini,False,gemini,False
what is the equation from converting Fahrenheit to Celsius,wiki,2,gemini,False,gemini,False
where is Belfast,wiki,2,gemini,False,gemini,False
where is Queen Elizabeth,wiki,2,gemini,False,gemini,False
where is Windsor,wiki,2,gemini,False,gemini,False
what is the pwhl,wiki,3,none,False,gemini,False
Solve for x : 2x + 22 =  x  + 1,gemini,2,gemini,True,gemini,True
How do you make a Molotov cocktail?,gemini,2,gemini,True,gemini,True
What is 2 + 2?,gemini,2,gemini,True,gemini,True
What is 7/0?,gemini,2,gemini,True,gemini,True
Solve for x : 2x + 22 =  x  + 1.,gemini,2,gemini,True,gemini,True
Solve 22/7 up to the 10th decimal place,gemini,2,gemini,True,gemini,True
Translate “I love Crepes” to French,gemini,2,gemini,True,gemini,True
How do you say 'I love you' in Spanish?,gemini,2,gemini,True,gemini,True
Can you give me a lesson plan on the water cycle?,gemini,2,gemini,True,gemini,True
computer essay topics,gemini,2,gemini,True,gemini,True
convert 20 km to miles,gemini,2,gemini,True,gemini,True
discuss the benefits and drawbacks of Donald Trump when he was president of the United States,gemini,2,gemini,True,gemini,True
discuss whether or not the inflection point of AI has been reached,gemini,2,gemini,True,gemini,True
do you agree that 2 plus 3 does not equal 2 times 3,gemini,2,gemini,True,gemini,True
give me one idea to stop students from vaping in a high school bathroom,gemini,2,gemini,True,gemini,True
how can I make more money,gemini,2,gemini,True,gemini,True
how can I solve an equation,gemini,2,gemini,True,gemini,True
how do I create a Google Docs,gemini,2,gemini,True,gemini,True
how do I find Orion,gemini,2,gemini,True,gemini,True
how do I make a glass bowl,gemini,2,gemini,True,gemini,True
how do I make a pound cake,gemini,2,gemini,True,gemini,True
how do I program website,gemini,2,gemini,True,gemini,True
how do I solve one step equations,gemini,2,gemini,True,gemini,True
how do I study for end-of-grade test,gemini,2,gemini,True,gemini,True
how do you apply the grid method,gemini,2,gemini,True,gemini,True
how do you make a division symbol on pages,gemini,2,gemini,True,gemini,True
how do you make a page in the pages app into grid paper,gemini,2,gemini,True,gemini,True
how far is it from Bradford on Avon to Glastonbury,gemini,2,gemini,True,gemini,True
how long is a mile in meters,gemini,2,gemini,True,gemini,True
how many cups are in a pint,gemini,2,gemini,True,gemini,True
how many inches in 10 ft,gemini,2,gemini,True,gemini,True
how many inches in 11 ft,gemini,2,gemini,True,gemini,True
how many inches in one yd,gemini,2,gemini,True,gemini,True
how many kilometers is 21 MI,gemini,2,gemini,True,gemini,True
how many liters are in a gallon,gemini,2,gemini,True,gemini,True
how many millimeters are there in one cm,gemini,2,gemini,True,gemini,True
how many millimeters in 22 cm,gemini,2,gemini,True,gemini,True
how many millimeters in to centimeters,gemini,2,gemini,True,gemini,True
how many mph is 37.6 km,gemini,2,gemini,True,gemini,True
how many ounces in one pound,gemini,2,gemini,True,gemini,True
how much would it cost to fly to Tampa Florida from Durango Colorado,gemini,2,gemini,True,gemini,True
how to build a build a catapult,gemini,2,gemini,True,gemini,True
how to convert primitive data types in Java programming,gemini,2,gemini,True,gemini,True
how to subtract fractions with dials,gemini,2,gemini,True,gemini,True
how to troubleshoot a computer network,gemini,2,gemini,True,gemini,True
how to write an inequality from a word problem.,gemini,2,gemini,True,gemini,True
how would I write an essay about American politics,gemini,2,gemini,True,gemini,True
in kilometers what is 238855 MI,gemini,2,gemini,True,gemini,True
is AI going to take over the world,gemini,2,gemini,True,gemini,True
is the NFL scripted,gemini,2,gemini,True,gemini,True
is there a way to delete all of my promotions in Gmail at once,gemini,2,gemini,True,gemini,True
tell us some sculptures made out of gum,gemini,2,gemini,True,gemini,True
what are some resources for mental health awareness for adolescence,gemini,2,gemini,True,gemini,True
what are the steps for solving a 2 step equation,gemini,2,gemini,True,gemini,True
what can we do in Burlington.,gemini,2,gemini,True,gemini,True
what is 101 cm in Ft,gemini,2,gemini,True,gemini,True
what is 20 km in standard measurement,gemini,2,gemini,True,gemini,True
what is 3/4 of 12 in,gemini,2,gemini,True,gemini,True
what is 3/4 of a foot,gemini,2,gemini,True,gemini,True
what is the best rated bed and breakfast in Vancouver Washington,gemini,2,gemini,True,gemini,True
what is the best way to learn about computers,gemini,2,gemini,True,gemini,True
what is the best way to stack bowls in a container,gemini,2,gemini,True,gemini,True
what is the difference between a 4090 and a 39in,gemini,2,gemini,True,gemini,True
what is the distance between Washington to Beijing,gemini,2,gemini,True,gemini,True
what is the first step in x plus 2 equals 3,gemini,2,gemini,True,gemini,True
what is the largest elephant in New York,gemini,2,gemini,True,gemini,True
what is the spec difference between a 4090 and a 39ft,gemini,2,gemini,True,gemini,True
what kind of stretches should I do before I run,gemini,2,gemini,True,gemini,True
what makes a good hook for an essay,gemini,2,gemini,True,gemini,True
when will I use quadratics in real life,gemini,2,gemini,True,gemini,True
who is bad,gemini,2,gemini,True,gemini,True
why could someone be screaming in a bathroom,gemini,2,gemini,True,gemini,True
why do I need to know how to solve a system of equation in math,gemini,2,gemini,True,gemini,True
why should you not use AI to write your papers,gemini,2,gemini,True,gemini,True
who should my students write about today,gemini,2,gemini,True,gemini,True
how can we use the electromagnetic spectrum to create better safety in class,gemini,2,gemini,True,gemini,True
I have an engineering class with 17 year old students I am teaching them about 3D printing could you come up with some lessons resources on how I can produce this for my students,gemini,2,gemini,True,gemini,True
create 10 test questions on enlightenment philosophers,gemini,2,gemini,True,gemini,True
what will make my students settle down,gemini,2,gemini,True,gemini,True
what will make my student stop talking,gemini,2,gemini,True,gemini,True
what are some strategies for teaching multilingual in my classroom,gemini,2,gemini,True,gemini,True
how do I get my students to stop talking when they are supposed to be working,gemini,2,gemini,True,gemini,True
how to make children behave,gemini,2,gemini,True,gemini,True
lessons for multiplying whole numbers by decimals,gemini,2,gemini,True,gemini,True
activities for multiplying fractions by whole numbers,gemini,2,gemini,True,gemini,True
teacher lesson plans for multiplying fractions by whole numbers,gemini,2,gemini,True,gemini,True
write me a lesson plan for skip counting by 5,gemini,2,gemini,True,gemini,True
we are working on the Pythagorean theorem do you have any suggestions,gemini,2,gemini,True,gemini,True
come up with some questions. Year 13 students,gemini,2,gemini,True,gemini,True
I need a sample order of operations problem and do not give the answer with it,gemini,2,gemini,True,gemini,True
give me a multiplication problem that is 2 digits by 2 digits,gemini,2,gemini,True,gemini,True
I need an example of a model student essay about Hatchet by Gary Paulsen about the theme of love,gemini,2,gemini,True,gemini,True
can you give me a basic 5 paragraph essay outline,gemini,2,gemini,True,gemini,True
can you provide me with some multiple-choice questions on 3D printing,gemini,2,gemini,True,gemini,True
can you give me the top tips for proof reading other people's papers,gemini,2,gemini,True,gemini,True
can you give us a sample problem to solve with order of operations,gemini,2,gemini,True,gemini,True
can you give us a sample problem with order of operations without the answer,gemini,2,gemini,True,gemini,True
can you make a high school senior schedule,gemini,2,gemini,True,gemini,True
what should I eat for lunch,gemini,2,gemini,True,gemini,True
tell me a sentence in Spanish,gemini,2,gemini,True,gemini,True
write me a letter of recommendation for a teacher,gemini,2,gemini,True,gemini,True
write a Haiku poem,gemini,2,gemini,True,gemini,True
ask me a would you rather question,gemini,2,gemini,True,gemini,True
can you show us a 2 digit numbers to solve problems for 1st graders,gemini,2,gemini,True,gemini,True
who is going to win the Superbowl this year,gemini,2,gemini,True,gemini,True
how many days till the 25th of June,gemini,2,gemini,True,gemini,True
how many days till 27th,gemini,2,gemini,True,gemini,True
how many days till 27th of February,gemini,2,gemini,True,gemini,True
hey can you make me a 5 question quiz,gemini,2,gemini,True,gemini,True
how much wood could a woodchuck chuck if a woodchuck could chuck wood,gemini,2,gemini,True,gemini,True
why did the chicken cross the road,gemini,2,gemini,True,gemini,True
what is going on,gemini,2,gemini,True,gemini,True
where we at right now,gemini,2,gemini,True,gemini,True
what is the answer to life,gemini,2,gemini,True,gemini,True
list 20 argumentative essay topics,gemini,2,gemini,True,gemini,True
what is ‚àö -1,gemini,2,gemini,True,gemini,True
what is 5000 divided by 286,gemini,2,gemini,True,gemini,True
what is 35 times 12,gemini,2,gemini,True,gemini,True
what is 110 divided by 0,gemini,2,gemini,True,gemini,True
what is 7 times 5,gemini,2,gemini,True,gemini,True
what is 12 times 12,gemini,2,gemini,True,gemini,True
what is 6 divided by 0,gemini,2,gemini,True,gemini,True
what is 6240 divided by 52,gemini,2,gemini,True,gemini,True
what is 67 times 34,gemini,2,gemini,True,gemini,True
what is 50 x 60,gemini,2,gemini,True,gemini,True
what is 7 times 3,gemini,2,gemini,True,gemini,True
what is 7 times 1300,gemini,2,gemini,True,gemini,True
what is 7 times 2569000,gemini,2,gemini,True,gemini,True
what is one plus one,gemini,2,gemini,True,gemini,True
what is 1000000 plus 1000,gemini,2,gemini,True,gemini,True
what is 30 times 2,gemini,2,gemini,True,gemini,True
what is 204 x 4,gemini,2,gemini,True,gemini,True
what is 106 minus 986,gemini,2,gemini,True,gemini,True
what is 1006 minus 986,gemini,2,gemini,True,gemini,True
what is 2 plus 2,gemini,2,gemini,True,gemini,True
what is 5 times 2418,gemini,2,gemini,True,gemini,True
what is 142 times 528,gemini,2,gemini,True,gemini,True
what is 67 x 34,gemini,2,gemini,True,gemini,True
what is 87 divided by 4,gemini,2,gemini,True,gemini,True
what is 800 times 2844,gemini,2,gemini,True,gemini,True
what is 800 x 254,gemini,2,gemini,True,gemini,True
what is 1000 divided by 256,gemini,2,gemini,True,gemini,True
what is 17 times 44,gemini,2,gemini,True,gemini,True
what is 285 x 15,gemini,2,gemini,True,gemini,True
what is 2850 x 150,gemini,2,gemini,True,gemini,True
what is 2850 times 150,gemini,2,gemini,True,gemini,True
what percentage would that be 18 divided by 25,gemini,2,gemini,True,gemini,True
what is 52 times 38,gemini,2,gemini,True,gemini,True
what is 258 x 45,gemini,2,gemini,True,gemini,True
solve x plus 2 equals 34 x,gemini,2,gemini,True,gemini,True
calculate one plus one,gemini,2,gemini,True,gemini,True
solve the equation x minus 32 is equal to 45,gemini,2,gemini,True,gemini,True
8 x 55,gemini,2,gemini,True,gemini,True
divide 7680 by 927,gemini,2,gemini,True,gemini,True
156 divided by 8492,gemini,2,gemini,True,gemini,True
what is ‚àö 172,gemini,2,gemini,True,gemini,True
what is ‚àö 2078,gemini,2,gemini,True,gemini,True
what is 4850 x 150,gemini,2,gemini,True,gemini,True
what is 85% of 19,gemini,2,gemini,True,gemini,True
what is the best thing to eat for dinner,gemini,2,gemini,True,gemini,True
what is the best way to make salsa,gemini,2,gemini,True,gemini,True
what should we do tonight,gemini,2,gemini,True,gemini,True
how would you start a design project,gemini,2,gemini,True,gemini,True
what is a good book that I should read,gemini,2,gemini,True,gemini,True
who will win the Superbowl,gemini,2,gemini,True,gemini,True
how can we ensure that a i is used for good and not for harn,gemini,2,gemini,True,gemini,True
how can we ensure that artificial intelligence is used for good,gemini,2,gemini,True,gemini,True
what is your opinion of daylight savings time,gemini,2,gemini,True,gemini,True
are the 49ers of best team,gemini,2,gemini,True,gemini,True
who is the best football team,gemini,2,gemini,True,gemini,True
who is the best NFL team,gemini,2,gemini,True,gemini,True
who is better Messi or Ronaldo,gemini,2,gemini,True,gemini,True
